ts	phase	decision	why	evidence	result
2026-09-08T17:05:00Z	frame	entered the existing worktree for the branch instead of cutting a new one	the controller already created it and it sat clean at the same commit as origin	.claude/worktrees/AI4DEV-89 at afe10da	on branch, clean tree
2026-09-08T17:10:00Z	frame	read the suite contract myself rather than delegating it	_contract.ts is the shape every unit must satisfy, so the lead has to hold it	tests/at/suites/req-016/_contract.ts	NotificationsSut and World seams known
2026-09-08T17:12:00Z	frame	the brief maps three ids to the wrong file	AT-016.05, .06 and .12 are registered in d-taxonomy-evidence.test.ts, not in b- and c-	tests/at/suites/req-016 atTest scan	noted, not a blocker
2026-09-08T17:13:00Z	scope	asked the founder how AT-016.09 behaves with no real producers	the brief requires this one question before the design arena	loop/items/AI4DEV-89/brief.md unit 5	founder chose fixture producers, green at integration in this run
2026-09-08T17:17:34Z	frame	throughput checkpoint, blocking first steps	the how run, the design arena and unit one gate every other unit; five of six units are blocked by D1.L1	loop/items/AI4DEV-89/brief.md units	gates named
2026-09-08T17:17:34Z	frame	throughput checkpoint, independent workstreams	the taxonomy pair and the reliability pair are logically disjoint but write the same new module tree and the same migration chain	brief units 2 and 3 against 5 and 6	no parent-level fan-out of writers
2026-09-08T17:17:34Z	frame	throughput checkpoint, shared mutable state	one subsystem cannot be split across concurrent writers, so the writers run one at a time, each committed before the next starts	brief, each unit green before the next	serialized on a real invariant
2026-09-08T17:17:34Z	frame	throughput checkpoint, smallest safe decomposition	one writer per unit in order beats one writer for all six, because each unit has its own acceptance ids to go green against	brief evidence bar	six sequential writer lanes
2026-09-08T17:17:34Z	frame	ran the how skill in critique mode with four grok explorers on the harness, the database posture, the application layer and the suite as a specification	the brief requires how in critique mode before any design	loop/items/AI4DEV-89/lanes/how-explorer-*.md	running
2026-09-08T17:17:34Z	setup	ran bun install in the worktree	the pinned TypeScript compiler was absent so typecheck could not run	bun run typecheck said tsc is not installed	install running
2026-09-08T17:17:34Z	setup	at:check req-016 is green at the start	twelve P0 ids in the acceptance file match twelve registered in the suite	bun run at:check req-016, twelve ids in bijection	baseline green
2026-09-08T17:24:28Z	how	four grok explorers returned complete and model verified	provider report matched grok-4.6 on all four receipts, so every lane counts	scratchpad how receipt-1 to receipt-4, 324s to 414s, 0.71 dollars total	128 KB of findings
2026-09-08T17:24:28Z	how	dispatched the explainer on the fable low lane rather than reading 128 KB myself	the sheet puts the explainer seat on fable at low and the lead must keep context for judging designs	loop/items/AI4DEV-89/lanes/how-explanation.md	running
2026-09-08T17:35:56Z	how	the explainer found all twelve ids gated on one absent file, tests/at/suites/req-016/_live.ts	liveAdapterExists is a plain existsSync, so every id throws capability pending before the harness is built	loop/items/AI4DEV-89/lanes/how-explanation.md overview	the seam is the first thing to build
2026-09-08T17:35:56Z	how	the taxonomy has 48 rows, not the 46 I assumed	counted the event literals in the file after the explainer contradicted me	Select-String on taxonomy.ts counted 48 rows and 11 guarded	corrected before any design
2026-09-08T17:35:56Z	scope	AT-016.01 is built on a suite-local source scan, not on a harness change	h.static is a refusing proxy no adapter can supply, and req-001 _source-scan.ts is the in-tree precedent for a suite-local source oracle read at both tiers	tests/at/suites/req-001/_source-scan.ts	no new harness machinery needed
2026-09-08T17:35:56Z	scope	did not ask the founder a second question about the harness	the project forbids new harness machinery and the precedent removes the need for any, so there is no fork left to put to a person	CLAUDE.md acceptance tests paragraph	proceeded
2026-09-08T17:35:56Z	design	started a four lane design arena, one distinct structural direction per lane	the brief requires distinct directions so the candidates do not converge, and the sheet fixes the four runners	lanes/arena candidate a sql resident, b typescript core, c delivery state machine, d ports and adapters	running
2026-09-08T18:09:12Z	design	four candidates and one cross judge returned, all model verified	the arena needs every lane to count before a base is picked	lanes/arena, judge scores D 26 A 24 B 22 C 20	four candidates plus a verdict
2026-09-08T18:09:12Z	design	picked candidate D, ports and adapters, as the base	it is the only design that scopes system under test reads to one world, and AT-016.09 opens twenty two worlds against one database	lanes/arena/cross-judge.md recommendation	base fixed
2026-09-08T18:09:12Z	design	narrowed the judge's first graft instead of taking it	AT-016.11 asserts the lost ack trace equals ack_lost then accepted, so a design that skips the second provider call fails the id	tests/at/suites/req-016/c-reliability-guard.test.ts lines 252 to 255	the receipt covers crash after acceptance only
2026-09-08T18:09:12Z	design	the product owns the sending module, not the live adapter	the source oracle would find zero product hits and throw, so AT-016.01 would rest on counting a type mention as a send path	design.md override 3	a node:net SMTP client in _shared
2026-09-08T18:09:12Z	design	took the tenant isolated posture for the deliveries table from candidate B	the brief says a recipient reads in app rows as the caller through a policy on the rows	design.md override 1	three extra statements
2026-09-08T18:09:12Z	design	rejected candidate A's generator from the suite file into the product migration	it makes a product migration a build artifact of a test owned file, which inverts the dependency	design.md rejections	kept the authored product const
2026-09-08T18:09:12Z	design	wrote the synthesis to loop/items/AI4DEV-89/design.md	the unit writers implement from candidate D plus seven named overrides	loop/items/AI4DEV-89/design.md	design settled
